RUOLO;NOME;SQUADRA;SLOT;Prezzo consigliato;Prezzo Massimo;Presenze;Goal subiti;Clean Sheet;Badge;Prendi o lascia? 🎲
C;Goncalves P.;Fiorentina;Slot 3-4 (Semititolare);65;77;9;0;0;-;LASCIALO AGLI ALTRI
C;Rodriguez Je.;Como;Slot 3-4 (Semititolare);62;76;31;2;9;🏋️‍♂️ Stakanovista;PRENDILO SENZA ESAGERARE
C;Baldanzi;Genoa;Slot 3-4 (Semititolare);60;75;8;0;2;🎯 Calci piazzati;LASCIALO AGLI ALTRI
C;Alajbegovic;Juventus;Slot 3-4 (Semititolare);58;72;28;9;3;🏋️‍♂️ Stakanovista;PRENDILO A POCO
C;Saelemaekers;Milan;Slot 3-4 (Semititolare);55;69;35;3;3;🏋️‍♂️ Stakanovista;PRENDILO SENZA ESAGERARE
C;Mastantuono;Fiorentina;Slot 3-4 (Semititolare);53;66;23;1;0;🎯 Calci piazzati;LASCIALO AGLI ALTRI
C;Moreira;Milan;Slot 3-4 (Semititolare);51;64;27;4;6;🏋️‍♂️ Stakanovista;PRENDILO A POCO
C;Bernardeschi;Bologna;Slot 3-4 (Semititolare);49;61;29;4;2;🏋️‍♂️ Stakanovista | 🎯 Rigorista | 🎯 Calci piazzati;PROVA A PRENDERLO
C;Rowe;Atalanta;Slot 3-4 (Semititolare);47;59;28;3;2;🏋️‍♂️ Stakanovista;PRENDILO A POCO
C;Perrone;Como;Slot 3-4 (Semititolare);45;56;36;3;4;🏋️‍♂️ Stakanovista | 🟨 Cittone;PROVA A PRENDERLO
C;Zambo Anguissa;Napoli;Slot 5-6 (Titolare);41;51;18;4;1;-;PROVA A PRENDERLO
C;Vergara;Napoli;Slot 5-6 (Titolare);39;49;12;1;2;-;SCOMMESSA
C;Konè M.;Roma;Slot 5-6 (Titolare);37;46;29;2;3;🏋️‍♂️ Stakanovista;PROVA A PRENDERLO
C;Thorstvedt;Sassuolo;Slot 5-6 (Titolare);36;45;32;4;4;🏋️‍♂️ Stakanovista | 🟨 Cittone;PROVA A PRENDERLO
C;Douglas Luiz;Juventus;Slot 5-6 (Titolare);35;43;34;1;2;🎯 Rigorista | 🟨 Cittone;SCOMMESSA
C;Diouf;Inter;Slot 5-6 (Titolare);34;42;19;1;0;-;LASCIALO AGLI ALTRI
C;Sucic P.;Inter;Slot 5-6 (Titolare);32;40;34;2;2;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
C;Locatelli;Juventus;Slot 5-6 (Titolare);31;39;36;1;2;🏋️‍♂️ Stakanovista | 🟨 Cittone;LASCIALO AGLI ALTRI
C;Thuram K.;Juventus;Slot 5-6 (Titolare);29;36;35;3;3;🏋️‍♂️ Stakanovista | INFORTUNATO;INFORTUNATO
C;Cancellieri;Lazio;Slot 5-6 (Titolare);28;35;30;4;2;🏋️‍♂️ Stakanovista | 🟨 Cittone;SCOMMESSA
C;Isaksen;Lazio;Slot 5-6 (Titolare);26;32;30;5;1;🏋️‍♂️ Stakanovista;PRENDILO A POCO
C;Colpani;Monza;Slot 5-6 (Titolare);25;31;25;2;1;🏋️‍♂️ Stakanovista;LASCIALO AGLI ALTRI
C;Politano;Napoli;Slot 5-6 (Titolare);24;30;34;2;5;🏋️‍♂️ Stakanovista | 🎯 Calci Piazzati;PRENDILO A POCO
C;Cristante;Roma;Slot 5-6 (Titolare);22;28;37;2;1;🏋️‍♂️ Stakanovista | 🟨 Cittone;PRENDILO A POCO
C;Volpato;Sassuolo;Slot 5-6 (Titolare);21;26;24;2;4;-;PROVA A PRENDERLO
